scheme_id,scheme_name,description,jurisdiction_type,state_code,category,annual_income_limit,occupations,social_categories,gender,age_min,age_max,is_portable,portability_type,source_dataset,source_file
CENTRAL_NA_advance_high_skill_training_component_of_the_development_of_industries_scheme,"""Advance / High Skill Training"" Component of the ""Development of Industries"" Scheme","The ""Advance / High Skill Training"" Component of the ""Development of Industries"" Scheme by the District Industries Centre, Department of Industries and Commerce, Union Territory of Puducherry aims to enhance the skill of those who have completed the basic training and are interested in advanced training in their trade or the candidates having technical qualification who are willing to undergo some special high skilled training to start their ventures or to get suitable employment opportunity in competitive fields.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_advance_high_skill_training_in_coir_component_of_the_development_of_coir_scheme,"""Advance/High Skill Training in Coir"" Component of the ""Development of Coir"" Scheme","The ""Advance/High Skill Training in Coir"" Component of the ""Development of Coir"" Scheme by the Department of Industries and Commerce, Union Territory of Puducherry, aims to enhance the skills of Coir artisans and interested individuals. The objective is to acquire the latest skills and modern technologies through advanced/high-skilled training available across various locations in India, offering valuable benefits to eligible candidates.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_advanced_training_in_handicrafts_component_of_the_development_of_handicrafts_scheme,"""Advanced Training in Handicrafts"" Component of the ""Development of Handicrafts"" Scheme","The ""Advanced Training in Handicrafts"" Component of the ""Development of Handicrafts"" Scheme is introduced by the Department of Industries and Commerce, Union Territory of Puducherry, to provide advanced training to individuals seeking to master exquisite craft skills. Through this scheme, candidates will be sponsored for training in other states where the craft is practised to its finest. The training program focuses on enhancing craft skills, enabling participants to acquire advanced techniques and proficiency in their chosen craft.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_annual_insurance_premium_for_boat_owners_under_financial_assistance_for_availing_subsidy_components_for_the_development_of_marine_fisheries,"""Annual Insurance Premium for Boat Owners"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""","The scheme ""Annual Insurance Premium for Boat Owners"" is a Sub-Component under the Umbrella Scheme ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries"" by the Department of Fisheries and Fishermen Welfare, Government of Puducherry. The scheme is introduced with the objective to increase marine fish production by extending subsidies for the procurement of annual premiums for insurance coverage paid by the registered mechanized boat operators. ﻿ ﻿",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_assistance_for_energy_and_water_conservation_under_motivation_of_entrepreneurs_to_start_industries_and_fiscal_assistance_to_industries_various_incentives,"""Assistance for Energy and Water Conservation"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives""","""Assistance for Energy and Water Conservation"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives"" is a scheme by the Industries and Commerce Department, Union Territory of Puducherry. The scheme came into force with effect from 1st April 2017 and is in operation in the whole of the UT of Puducherry. Through this scheme, 50% of the fees paid to the recognized institution/consultant for conducting the energy/water audit is reimbursed, subject to a limit of ₹25,000/-. In order to be eligible, the unit should have achieved saving in energy/water minimum by 10% of average monthly consumption of previous 12 months before conduct of audit. The applications are accepted offline in the prescribed form available on the Official Website of the Department.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_assistance_for_intellectual_property_protection_support_under_motivation_of_entrepreneurs_to_start_industries_and_fiscal_assistance_to_industries_various_incentives,"""Assistance for Intellectual Property Protection Support"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives""","""Assistance for Intellectual Property Protection Support"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives"" is a scheme by the Industries and Commerce Department, Union Territory of Puducherry. The scheme came into force with effect from 1st April 2017 and is in operation in the whole of the UT of Puducherry. Through this scheme, assistance of 50% is provided subject to a maximum of ₹2,00,000/- for the expenditure for obtaining domestic patent (₹5,00,000/- for international patent). The applications are accepted offline in the prescribed form available on the Official Website of the Department.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_assistance_for_technology_acquisition_under_motivation_of_entrepreneurs_to_start_industries_and_fiscal_assistance_to_capital_intensive_industries,"""Assistance for Technology Acquisition"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Capital Intensive Industries""","""Assistance for Technology Acquisition"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Capital Intensive Industries"" is a scheme by the Industries and Commerce Department, Union Territory of Puducherry. The scheme came into force with effect from 1st April 2017 and is in operation in the whole of the UT of Puducherry. Through this scheme, assistance for acquisition of appropriate technology in any form for specific product/process will be provided by way of 50% grant subject to a maximum of ₹10,00,000/-. The applications are accepted offline in the prescribed form available on the Official Website of the Department.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_back_ended_investment_subsidy_to_paddy_growers_component_of_the_crop_production_technology_scheme,"""Back Ended Investment Subsidy to Paddy Growers"" component of the ""Crop Production Technology"" scheme","The ""Back Ended Investment Subsidy to Paddy Growers"" component of the ""Crop Production Technology"" scheme was introduced by the Department of Agriculture and Farmer's Welfare, Union Territory of Puducherry. Through this scheme, the paddy farmers residing in the Yanam region are provided a back-ended investment subsidy at ₹4,000/- per hectare.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_capital_investment_subsidy_for_new_and_existing_industries_under_motivation_of_entrepreneurs_to_start_industries_and_fiscal_assistance_to_capital_intensive_industries,"""Capital Investment Subsidy (for New and Existing Industries)"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Capital Intensive Industries""","""Capital Investment Subsidy (for New and Existing Industries)"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Capital Intensive Industries"" is a scheme by the Industries and Commerce Department, Union Territory of Puducherry. The scheme came into force with effect from 1st April 2017 and is in operation in the whole of the UT of Puducherry. Through this scheme, the enterprises and entrepreneurs are provided subsidy of upto 45% on the investments made on land, buildings, plant and machinery. The applications are accepted offline in the prescribed form available on the Official Website of the Department.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_capital_investment_subsidy_5_additional_capital_investment_subsidy_to_karaikal_region_under_motivation_of_entrepreneurs_to_start_industries_and_fiscal_assistance_to_industries,"""Capital Investment Subsidy: 5% Additional Capital Investment Subsidy to Karaikal Region"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""","The ""Capital Investment Subsidy: 5% Additional Capital Investment Subsidy to Karaikal Region"" is a Component of the ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries"" Scheme by the Department of Industrial Development (Industries and Commerce), Union Territory of Puducherry. Through this scheme, 5% Additional Incentive on the Existing Subsidy Schemes is provided to the Units in Karaikal Region. The applications are accepted offline in the prescribed form available on the Official Website of the Department.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
